ageRange,industry,annualSalary,addIncome,currency,workCountry,usState,usCity,overallProExp,fieldExp,eduLevel,gender,race,totalCompensation,compUSD
35-44,Media & Digital,125000,0.0,USD,USA,District of Columbia,"Washington, DC",11-20,8-10,Master's degree,Woman,White,125000.0,125000.0
25-34,"Accounting, Banking & Finance",230000,0.0,USD,USA,Missouri,St. Louis,11-20,11-20,College degree,Woman,White,230000.0,230000.0
35-44,"Accounting, Banking & Finance",110000,15000.0,USD,USA,Virginia,Richmond,21-30,11-20,College degree,Woman,White,125000.0,125000.0
25-34,Nonprofits,50000,0.0,USD,USA,District of Columbia,Washington,5-7,2-4,College degree,Woman,White,50000.0,50000.0
35-44,Education (Higher Education),68000,0.0,USD,USA,North Carolina,Research Triangle,5-7,2-4,Master's degree,Woman,White,68000.0,68000.0
18-24,Media & Digital,41000,100.0,USD,USA,Michigan,Kalamazoo,2-4,2-4,College degree,Woman,White,41100.0,41100.0
25-34,"Accounting, Banking & Finance",76000,10000.0,USD,USA,New York,Manhattan,5-7,2-4,College degree,Woman,White,86000.0,86000.0
35-44,Government and Public Administration,78000,0.0,USD,USA,California,Sacramento,8-10,5-7,Master's degree,Woman,White,78000.0,78000.0
25-34,"Accounting, Banking & Finance",37000,0.0,USD,USA,Texas,Dallas,2-4,2-4,College degree,Woman,White,37000.0,37000.0
45-54,Engineering or Manufacturing,100000,50000.0,USD,USA,Georgia,waynesboro,21-30,21-30,College degree,Woman,White,150000.0,150000.0
35-44,"Marketing, Advertising & PR",35000,6000.0,GBP,UK,,Liverpool,11-20,11-20,College degree,Woman,White,41000.0,54940.0
25-34,Government and Public Administration,65000,0.0,USD,USA,Virginia,Richmond,5-7,5-7,College degree,Man,White,65000.0,65000.0
25-34,Computing or Tech,187500,5000.0,USD,USA,Pennsylvania,Pittsburgh,8-10,5-7,College degree,Woman,White,192500.0,192500.0
25-34,Computing or Tech,110000,20000.0,USD,USA,Virginia,"Arlington, VA",8-10,8-10,Master's degree,Man,White,130000.0,130000.0
25-34,Nonprofits,66625,1500.0,USD,USA,Massachusetts,Boston,8-10,8-10,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",68125.0,68125.0
35-44,Computing or Tech,144600,2500.0,USD,USA,Massachusetts,Boston,5-7,5-7,PhD,Woman,White,147100.0,147100.0
35-44,Computing or Tech,200850,40000.0,USD,USA,North Carolina,Chapel Hill,11-20,11-20,College degree,Woman,White,240850.0,240850.0
25-34,Engineering or Manufacturing,120000,1500.0,CAD,CANADA,,Vancouver,11-20,8-10,College degree,Woman,White,121500.0,87480.0
25-34,Retail,97500,10000.0,CAD,CANADA,,Toronto,8-10,8-10,College degree,Woman,White,107500.0,77400.0
35-44,Education (Higher Education),96000,0.0,USD,USA,California,Berkeley,5-7,5-7,PhD,Woman,White,96000.0,96000.0
25-34,Education (Primary/Secondary),53000,1000.0,USD,USA,Minnesota,Apple Valley,5-7,0-1,Master's degree,Woman,White,54000.0,54000.0
25-34,"Marketing, Advertising & PR",95000,10000.0,USD,USA,Illinois,Chicago,8-10,8-10,College degree,Woman,White,105000.0,105000.0
35-44,Computing or Tech,72000,3000.0,USD,USA,Michigan,Troy,11-20,5-7,Master's degree,Woman,White,75000.0,75000.0
35-44,Media & Digital,52000,0.0,CAD,CANADA,,Toronto,11-20,11-20,College degree,Woman,Asian or Asian American,52000.0,37440.0
35-44,Engineering or Manufacturing,106000,0.0,USD,USA,Massachusetts,Boston,21-30,11-20,Master's degree,Woman,White,106000.0,106000.0
25-34,Government and Public Administration,115000,0.0,USD,USA,District of Columbia,DC,5-7,5-7,PhD,Woman,"Hispanic, Latino, or Spanish origin",115000.0,115000.0
25-34,Business or Consulting,100500,3000.0,USD,USA,District of Columbia,Washington,11-20,5-7,College degree,Woman,White,103500.0,103500.0
25-34,Law,33200,0.0,USD,USA,New Jersey,Linden,8-10,2-4,Some college,Woman,White,33200.0,33200.0
35-44,Government and Public Administration,52000,0.0,GBP,UK,,Bristol,11-20,11-20,Master's degree,Woman,White,52000.0,69680.0
25-34,Education (Higher Education),52000,0.0,USD,USA,Illinois,Champaign,8-10,8-10,College degree,Woman,White,52000.0,52000.0
25-34,Government and Public Administration,79000,0.0,CAD,CANADA,,Nova Scotia,8-10,5-7,Master's degree,Woman,White,79000.0,56880.0
65 or over,Property or Construction,104000,25000.0,USD,USA,Georgia,Atlanta,41+,21-30,College degree,Man,White,129000.0,129000.0
25-34,Education (Primary/Secondary),75000,0.0,CAD,CANADA,,Ottawa,5-7,2-4,College degree,Woman,Asian or Asian American,75000.0,54000.0
18-24,Biotechnology,52000,0.0,USD,USA,Texas,Bryan,2-4,2-4,College degree,Woman,White,52000.0,52000.0
25-34,Education (Higher Education),70000,0.0,USD,USA,Rhode Island,Providence,5-7,2-4,Master's degree,Non-binary,White,70000.0,70000.0
25-34,Nonprofits,84000,8400.0,USD,USA,District of Columbia,District of Columbia,5-7,5-7,Master's degree,Woman,White,92400.0,92400.0
35-44,Health care,53000,0.0,USD,USA,Illinois,Bloomington,21-30,11-20,Master's degree,Woman,White,53000.0,53000.0
25-34,Computing or Tech,34000,2000.0,USD,USA,Minnesota,Minneapolis,5-7,5-7,College degree,Woman,White,36000.0,36000.0
25-34,Nonprofits,38000,0.0,USD,USA,Colorado,Denver,5-7,2-4,Master's degree,Woman,White,38000.0,38000.0
25-34,Government and Public Administration,87000,0.0,USD,USA,New York,New York City,5-7,2-4,Master's degree,Man,White,87000.0,87000.0
35-44,Aerospace contracting,122000,3600.0,USD,USA,,Colorado Springs,11-20,11-20,Master's degree,Woman,White,125600.0,125600.0
25-34,Insurance,45000,2000.0,GBP,UK,,Southampton,5-7,2-4,Master's degree,Woman,White,47000.0,62980.00000000001
25-34,Engineering or Manufacturing,45000,0.0,USD,USA,South Carolina,Columbia,5-7,5-7,Some college,Woman,White,45000.0,45000.0
35-44,Computing or Tech,88000,0.0,USD,USA,Maryland,prefer not to answer,11-20,8-10,College degree,Woman,Another option not listed here or prefer not to answer,88000.0,88000.0
35-44,Nonprofits,71000,0.0,USD,USA,New York,NYC (remotely),11-20,8-10,Master's degree,Woman,White,71000.0,71000.0
45-54,Education (Higher Education),71000,0.0,USD,USA,Illinois,Champaign,11-20,11-20,PhD,Woman,White,71000.0,71000.0
35-44,Education (Primary/Secondary),75000,0.0,USD,USA,Georgia,Atlanta,11-20,11-20,Master's degree,Woman,White,75000.0,75000.0
35-44,Education (Higher Education),80000,0.0,USD,USA,North Carolina,Raleigh,21-30,11-20,Master's degree,Woman,White,80000.0,80000.0
35-44,Computing or Tech,125000,0.0,USD,USA,New York,New York,11-20,8-10,Master's degree,Woman,White,125000.0,125000.0
35-44,Education (Higher Education),65000,0.0,USD,USA,Pennsylvania,-----,11-20,11-20,Master's degree,Woman,White,65000.0,65000.0
45-54,Education (Primary/Secondary),36000,0.0,GBP,UK,,Edinburgh,21-30,21-30,College degree,Woman,White,36000.0,48240.0
25-34,Nonprofits,55000,0.0,USD,USA,Minnesota,St. Paul,2-4,2-4,College degree,Woman,White,55000.0,55000.0
25-34,Art & Design,90000,1000.0,USD,USA,Pennsylvania,Philadelphia,11-20,8-10,College degree,Woman,White,91000.0,91000.0
35-44,Engineering or Manufacturing,105000,13000.0,USD,USA,Pennsylvania,Philadelphia (suburbs),8-10,5-7,College degree,Woman,White,118000.0,118000.0
35-44,Nonprofits,60000,0.0,CAD,CANADA,,"Kitchener, Ontario",11-20,11-20,High School,Man,White,60000.0,43200.0
35-44,Education (Higher Education),65000,0.0,USD,USA,Pennsylvania,Philadelphia,11-20,8-10,Master's degree,Woman,White,65000.0,65000.0
25-34,Business or Consulting,85000,8500.0,USD,USA,Illinois,Chicago,5-7,2-4,Master's degree,Woman,White,93500.0,93500.0
25-34,Sales,39520,0.0,USD,USA,Oregon,Portland ,8-10,2-4,Some college,Woman,White,39520.0,39520.0
45-54,Computing or Tech,115000,0.0,CAD,CANADA,,Ottawa,21-30,21-30,Master's degree,Man,White,115000.0,82800.0
25-34,Energy,76000,0.0,USD,USA,District of Columbia,Washington,8-10,5-7,College degree,Woman,White,76000.0,76000.0
55-64,Business or Consulting,180000,60000.0,USD,USA,Massachusetts,Boston,31-40,11-20,Master's degree,Woman,White,240000.0,240000.0
25-34,"Accounting, Banking & Finance",90000,0.0,USD,USA,Tennessee,Nashville,5-7,5-7,Master's degree,Woman,White,90000.0,90000.0
25-34,Government and Public Administration,19300,0.0,GBP,UK,,"Newcastle, UK",5-7,5-7,Some college,Man,White,19300.0,25862.0
55-64,Business or Consulting,65000,5000.0,USD,USA,Washington,Seattle,31-40,11-20,Master's degree,Woman,White,70000.0,70000.0
45-54,Computing or Tech,98166,0.0,USD,USA,Indiana,Indianapolis,21-30,21-30,College degree,Man,White,98166.0,98166.0
25-34,Education (Primary/Secondary),63500,0.0,USD,USA,Tennessee,Nashville,5-7,0-1,Master's degree,Woman,White,63500.0,63500.0
55-64,Environmental regulation,58,0.0,USD,USA,Maryland,Baltimore,21-30,8-10,Master's degree,Woman,White,58.0,58.0
25-34,Nonprofits,47700,2000.0,USD,USA,District of Columbia,Washington,5-7,2-4,College degree,Woman,White,49700.0,49700.0
55-64,Computing or Tech,87000,8000.0,USD,USA,Ohio,Solon,31-40,31-40,Some college,Man,White,95000.0,95000.0
35-44,Media & Digital,48000,0.0,CAD,CANADA,,Montreal,8-10,8-10,College degree,Woman,White,48000.0,34560.0
25-34,Education (Higher Education),39635,305.0,USD,USA,Florida,Gainesville,2-4,2-4,College degree,Woman,"Asian or Asian American, White",39940.0,39940.0
25-34,Government and Public Administration,53000,0.0,USD,USA,North Carolina,Troy,8-10,5-7,College degree,Man,White,53000.0,53000.0
45-54,Education (Primary/Secondary),47255,0.0,USD,USA,Indiana,Lafayette,31-40,21-30,Some college,Woman,White,47255.0,47255.0
35-44,Property or Construction,196000,10000.0,USD,USA,New York,New York,11-20,11-20,College degree,Man,White,206000.0,206000.0
45-54,Health care,34361,0.0,USD,USA,Arizona,Phoenix,21-30,11-20,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",34361.0,34361.0
45-54,Engineering or Manufacturing,150000,20000.0,USD,USA,Colorado,Boulder,21-30,21-30,College degree,Woman,White,170000.0,170000.0
25-34,Hospitality & Events,75000,0.0,USD,USA,New York,New York City,5-7,5-7,College degree,Woman,White,75000.0,75000.0
35-44,Education (Higher Education),20000,0.0,USD,USA,Minnesota,Minneapolis,5-7,2-4,College degree,Woman,White,20000.0,20000.0
25-34,Computing or Tech,107220,16083.0,USD,USA,Texas,Austin,8-10,5-7,Master's degree,Woman,Asian or Asian American,123303.0,123303.0
35-44,Government and Public Administration,78000,0.0,CAD,CANADA,,Halifax,11-20,5-7,College degree,Woman,"Asian or Asian American, White",78000.0,56160.0
45-54,Education (Higher Education),95000,10000.0,USD,USA,Michigan,Detroit,21-30,11-20,PhD,Man,White,105000.0,105000.0
45-54,Sales,42000,0.0,USD,USA,New Hampshire,Portsmouth,21-30,11-20,Master's degree,Woman,White,42000.0,42000.0
25-34,"Accounting, Banking & Finance",100000,5000.0,USD,USA,New York,New York,5-7,5-7,Master's degree,Woman,White,105000.0,105000.0
25-34,Computing or Tech,50000,0.0,GBP,UK,,Nottingham,5-7,2-4,High School,Man,White,50000.0,67000.0
35-44,Education (Higher Education),119000,2500.0,USD,USA,California,Prefer not to answer,11-20,8-10,College degree,Woman,White,121500.0,121500.0
45-54,"Accounting, Banking & Finance",66000,5000.0,GBP,UK,,Glasgow,21-30,21-30,Master's degree,Woman,White,71000.0,95140.0
25-34,Education (Higher Education),75000,0.0,USD,USA,Massachusetts,Boston,11-20,11-20,College degree,Woman,White,75000.0,75000.0
35-44,Education (Higher Education),145000,15000.0,USD,USA,New York,New York City,2-4,2-4,PhD,Woman,White,160000.0,160000.0
25-34,"Accounting, Banking & Finance",95000,10000.0,CAD,CANADA,,Calgary,2-4,2-4,College degree,Woman,White,105000.0,75600.0
25-34,"Marketing, Advertising & PR",48000,2000.0,USD,USA,Missouri,Kansas City,5-7,5-7,Master's degree,Woman,White,50000.0,50000.0
45-54,"Accounting, Banking & Finance",75000,10000.0,USD,USA,Illinois,Chicago,21-30,21-30,College degree,Woman,White,85000.0,85000.0
35-44,Media & Digital,42000,0.0,USD,USA,Pennsylvania,Scranton,11-20,11-20,College degree,Woman,White,42000.0,42000.0
35-44,Nonprofits,54000,100.0,USD,USA,Iowa,Dubuque,21-30,8-10,Master's degree,Woman,White,54100.0,54100.0
35-44,Education (Higher Education),92000,0.0,CAD,CANADA,,"London, ON CAN",5-7,5-7,PhD,Woman,White,92000.0,66240.0
45-54,Government and Public Administration,50870,0.0,GBP,UK,,Cardiff,21-30,11-20,Master's degree,Woman,White,50870.0,68165.8
55-64,Medical Devices,60000,500.0,USD,USA,California,San Diego,31-40,31-40,College degree,Woman,Middle Eastern or Northern African,60500.0,60500.0
55-64,Nonprofits,101500,0.0,USD,USA,District of Columbia,Washington,31-40,21-30,College degree,Woman,White,101500.0,101500.0
25-34,Academic research (Psychology),36883,150.0,USD,USA,Massachusetts,Belmont,2-4,2-4,College degree,Woman,White,37033.0,37033.0
25-34,Media & Digital,85000,0.0,USD,USA,New York,New York City,11-20,11-20,College degree,Woman,White,85000.0,85000.0
25-34,Education (Higher Education),62000,0.0,USD,USA,Massachusetts,Cambridge,5-7,5-7,College degree,Woman,White,62000.0,62000.0
35-44,Computing or Tech,130000,0.0,USD,USA,,Philadelphia ,11-20,11-20,College degree,Man,White,130000.0,130000.0
55-64,Education (Higher Education),55000,0.0,USD,USA,,Indianapolis,21-30,21-30,Master's degree,Woman,White,55000.0,55000.0
25-34,Government and Public Administration,59015,0.0,USD,USA,New Jersey,Whippany,8-10,8-10,College degree,Woman,White,59015.0,59015.0
25-34,Business or Consulting,71000,3000.0,USD,USA,New York,New York City,5-7,5-7,College degree,Woman,White,74000.0,74000.0
45-54,Social Work,53000,0.0,USD,USA,Wisconsin,Jefferson,21-30,8-10,Master's degree,Woman,White,53000.0,53000.0
25-34,public library,63000,0.0,USD,USA,Virginia,Manassas,5-7,5-7,Master's degree,Woman,White,63000.0,63000.0
35-44,Engineering or Manufacturing,95000,5000.0,USD,USA,Michigan,Detroit Metro area,21-30,21-30,College degree,Woman,White,100000.0,100000.0
35-44,Nonprofits,35000,3000.0,USD,USA,Pennsylvania,Newtown Square,11-20,11-20,Some college,Woman,White,38000.0,38000.0
18-24,Hospitality & Events,33280,500.0,USD,USA,Florida,"Small city, remote, national company",5-7,2-4,College degree,Non-binary,White,33780.0,33780.0
35-44,"Accounting, Banking & Finance",56000,2500.0,USD,USA,Tennessee,Memphis,11-20,8-10,Some college,Woman,White,58500.0,58500.0
35-44,Education (Higher Education),85000,0.0,USD,USA,Illinois,Chicago,11-20,11-20,College degree,Woman,White,85000.0,85000.0
35-44,Education (Higher Education),62000,0.0,USD,USA,Texas,Dallas,11-20,11-20,College degree,Woman,White,62000.0,62000.0
25-34,Law,74000,0.0,USD,USA,Michigan,Grand Rapids,8-10,2-4,Master's degree,Non-binary,White,74000.0,74000.0
25-34,Nonprofits,63000,1000.0,USD,USA,District of Columbia,DC,5-7,2-4,College degree,Woman,White,64000.0,64000.0
25-34,Recruitment or HR,45000,10000.0,GBP,UK,,London,11-20,8-10,College degree,Woman,White,55000.0,73700.0
35-44,Nonprofits,86000,6000.0,USD,USA,,New York ,11-20,8-10,College degree,Woman,White,92000.0,92000.0
18-24,PhD,19000,0.0,GBP,UK,,Cambridge,2-4,0-1,Master's degree,Man,White,19000.0,25460.0
35-44,Education (Higher Education),42000,0.0,USD,USA,Nebraska,Omaha,11-20,11-20,Master's degree,Man,White,42000.0,42000.0
55-64,Biopharma,114000,30000.0,USD,USA,Massachusetts,Cambridge,21-30,8-10,College degree,Man,White,144000.0,144000.0
45-54,Insurance,73000,0.0,USD,USA,Colorado,Denver,31-40,31-40,High School,Woman,White,73000.0,73000.0
35-44,Nonprofits,54000,0.0,GBP,UK,,London,11-20,11-20,College degree,Woman,White,54000.0,72360.0
45-54,Health care,100000,0.0,USD,USA,Georgia,Gainesville,21-30,11-20,Master's degree,Woman,White,100000.0,100000.0
25-34,Publishing,27000,0.0,GBP,UK,,Oxford,11-20,5-7,College degree,Woman,White,27000.0,36180.0
18-24,Government and Public Administration,60129,3000.0,USD,USA,District of Columbia,Washington DC,2-4,0-1,Master's degree,Woman,White,63129.0,63129.0
45-54,STEM research,135000,0.0,USD,USA,Texas,San Antonio,11-20,11-20,PhD,Woman,White,135000.0,135000.0
25-34,Computing or Tech,130000,0.0,USD,USA,Virginia,McLean,11-20,5-7,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",130000.0,130000.0
25-34,Libraries,26000,0.0,USD,USA,Oklahoma,Ardmore,2-4,2-4,Master's degree,Woman,"Hispanic, Latino, or Spanish origin, Middle Eastern or Northern African, White",26000.0,26000.0
25-34,"Accounting, Banking & Finance",60000,0.0,USD,USA,Ohio,Columbus,5-7,5-7,Master's degree,Woman,White,60000.0,60000.0
35-44,Nonprofits,37000,0.0,USD,USA,Ohio,Shaker Hts,11-20,5-7,College degree,Woman,White,37000.0,37000.0
25-34,Engineering or Manufacturing,85000,3000.0,USD,USA,South Carolina,Charleston,5-7,5-7,College degree,Woman,White,88000.0,88000.0
35-44,Media & Digital,45000,20000.0,USD,USA,Texas,Austin,11-20,11-20,College degree,Woman,White,65000.0,65000.0
25-34,Nonprofits,92000,0.0,USD,USA,Massachusetts,Boston,8-10,5-7,Master's degree,Woman,White,92000.0,92000.0
25-34,Engineering or Manufacturing,65000,4000.0,USD,USA,Wisconsin,Madison,5-7,2-4,College degree,Man,White,69000.0,69000.0
35-44,"Marketing, Advertising & PR",35000,0.0,USD,USA,Indiana,Mishawaka,11-20,11-20,College degree,Woman,White,35000.0,35000.0
25-34,"Accounting, Banking & Finance",74000,1000.0,USD,USA,Oklahoma,Tulsa,8-10,5-7,College degree,Woman,White,75000.0,75000.0
25-34,Engineering or Manufacturing,102500,20000.0,USD,USA,Florida,Tampa,5-7,5-7,College degree,Man,"Hispanic, Latino, or Spanish origin",122500.0,122500.0
35-44,Nonprofits,70000,0.0,USD,USA,Pennsylvania,Philadelphia,11-20,11-20,Master's degree,Woman,White,70000.0,70000.0
45-54,Computing or Tech,140000,5000.0,USD,USA,Colorado,Denver,21-30,11-20,Some college,Woman,White,145000.0,145000.0
35-44,Architecture,58000,4000.0,USD,USA,New Jersey,Lambertville,11-20,8-10,Master's degree,Woman,White,62000.0,62000.0
35-44,"Marketing, Advertising & PR",400000,0.0,USD,USA,New York,Chatham,11-20,11-20,College degree,Woman,White,400000.0,400000.0
35-44,Nonprofits,61200,0.0,USD,USA,Illinois,Skokie,11-20,11-20,Master's degree,Woman,White,61200.0,61200.0
25-34,"Marketing, Advertising & PR",85000,10000.0,GBP,UK,,London ,8-10,8-10,College degree,Woman,White,95000.0,127300.00000000001
25-34,Recruitment or HR,66000,0.0,USD,USA,Georgia,Alpharetta,2-4,2-4,College degree,Woman,White,66000.0,66000.0
35-44,Computing or Tech,70000,0.0,USD,USA,Texas,Austin,8-10,5-7,College degree,Woman,Black or African American,70000.0,70000.0
25-34,Education (Higher Education),52000,0.0,USD,USA,Massachusetts,Boston,5-7,5-7,College degree,Woman,White,52000.0,52000.0
45-54,Property or Construction,75500,5000.0,USD,USA,Florida,Northeast Florida,21-30,11-20,Some college,Woman,White,80500.0,80500.0
25-34,"Marketing, Advertising & PR",57000,0.0,USD,USA,Virginia,Richmond,8-10,2-4,Master's degree,Woman,White,57000.0,57000.0
25-34,Nonprofits,83200,0.0,USD,USA,District of Columbia,Washington DC,8-10,8-10,Master's degree,Woman,White,83200.0,83200.0
18-24,"Marketing, Advertising & PR",77500,0.0,USD,USA,New York,New York City ,2-4,2-4,College degree,Woman,"Black or African American, White",77500.0,77500.0
35-44,Retail,31200,0.0,USD,USA,Florida,Altamonte Springs,11-20,0-1,College degree,Woman,White,31200.0,31200.0
25-34,Health care,31000,1000.0,GBP,UK,,Brighton,2-4,0-1,Master's degree,Woman,White,32000.0,42880.0
35-44,"Marketing, Advertising & PR",215000,10000.0,USD,USA,New York,New York City,11-20,11-20,College degree,Woman,Another option not listed here or prefer not to answer,225000.0,225000.0
25-34,Academic Medicine ,55000,2500.0,USD,USA,Illinois,Chicago,8-10,5-7,College degree,Man,White,57500.0,57500.0
45-54,Law,220000,0.0,USD,USA,California,San Francisco,11-20,11-20,PhD,Woman,Asian or Asian American,220000.0,220000.0
25-34,Retail,100000,0.0,USD,USA,Illinois,Chicago,8-10,8-10,College degree,Woman,White,100000.0,100000.0
25-34,Computing or Tech,80000,0.0,USD,USA,,Portland,5-7,2-4,Master's degree,Woman,White,80000.0,80000.0
25-34,Education (Higher Education),52500,0.0,USD,USA,North Carolina,Research Triangle region,5-7,5-7,Master's degree,Woman,White,52500.0,52500.0
25-34,"Accounting, Banking & Finance",94000,0.0,USD,USA,Illinois,Chicago,2-4,2-4,College degree,Woman,White,94000.0,94000.0
25-34,Engineering or Manufacturing,57000,0.0,USD,USA,Washington,Seattle,5-7,5-7,College degree,Woman,White,57000.0,57000.0
35-44,Computing or Tech,83000,8000.0,USD,USA,California,San Diego,8-10,5-7,College degree,Woman,White,91000.0,91000.0
35-44,Nonprofits,90000,0.0,USD,USA,District of Columbia,"Washington, DC",11-20,11-20,College degree,Woman,White,90000.0,90000.0
35-44,Hospitality & Events,66950,0.0,USD,USA,Indiana,Indianapolis,8-10,5-7,College degree,Woman,White,66950.0,66950.0
25-34,Government and Public Administration,76000,0.0,USD,USA,California,Merced,2-4,2-4,College degree,Woman,Asian or Asian American,76000.0,76000.0
25-34,Engineering or Manufacturing,52000,6000.0,GBP,UK,,Aberdeen,8-10,8-10,Master's degree,Woman,White,58000.0,77720.0
25-34,Nonprofits,70000,5000.0,USD,USA,Pennsylvania,Pittsburgh,8-10,5-7,Master's degree,Woman,White,75000.0,75000.0
25-34,Education (Higher Education),60000,2500.0,USD,USA,,Birmingham,2-4,2-4,PhD,Non-binary,White,62500.0,62500.0
35-44,Engineering or Manufacturing,80000,0.0,USD,USA,Nebraska,Omaha,11-20,11-20,Master's degree,Woman,White,80000.0,80000.0
35-44,Nonprofits,70000,0.0,USD,USA,Massachusetts,Boston,11-20,11-20,Master's degree,Woman,White,70000.0,70000.0
25-34,Education (Higher Education),34299,0.0,USD,USA,Maine,Gorham/Portland,8-10,2-4,Master's degree,Woman,White,34299.0,34299.0
25-34,Computing or Tech,90000,0.0,GBP,UK,,London,11-20,11-20,Master's degree,Woman,White,90000.0,120600.0
35-44,Education (Higher Education),50000,0.0,USD,USA,New York,Westchester/NYC,11-20,11-20,Master's degree,Woman,White,50000.0,50000.0
35-44,Hospitality & Events,85000,0.0,USD,USA,New York,New York City,11-20,5-7,College degree,Woman,White,85000.0,85000.0
35-44,Retail,87000,15000.0,USD,USA,California,San Jose,8-10,2-4,High School,Woman,White,102000.0,102000.0
35-44,Law,125000,0.0,USD,USA,District of Columbia,"Washington, DC",11-20,2-4,Master's degree,Woman,White,125000.0,125000.0
35-44,Commercial Real Estate ,55000,5000.0,USD,USA,Texas,Dallas,11-20,5-7,Some college,Woman,White,60000.0,60000.0
55-64,Law,275000,0.0,USD,USA,Minnesota,Minneapolis,31-40,31-40,Master's degree,Woman,White,275000.0,275000.0
25-34,Pet care industry (dog training/walking),48500,0.0,USD,USA,Massachusetts,Boston,5-7,2-4,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",48500.0,48500.0
35-44,Engineering or Manufacturing,139000,9000.0,USD,USA,Washington,Seattle,11-20,11-20,College degree,Woman,White,148000.0,148000.0
25-34,Law,54080,500.0,USD,USA,Michigan,Grandville,11-20,11-20,College degree,Woman,White,54580.0,54580.0
